   1  13  1.82   1   0
   1  18  3.29   3   7
   1  18  3.21   5   9
   1  18  3.06   6  10
   2  15  2.14   4   6
   2  15  2.30   5   7
   2  15  2.40   6   8
   2  15  2.46   7   9
   2  15  2.51   8  10
   2  15  2.50   9  11
   2  15  2.55  10  12
   2  15  2.56  11  13
   2  15  2.60  12  14
   3  10  1.56   1   2
   4  12  1.85   1   3
   4  12  2.14   2   4
   4  12  1.81   3   5
   4  12  1.15   4   6
   4  13  1.93   4   7
   4  13  2.08   5   8
   4  13  2.13   6   9
   4  13  2.48   7  10
   4  13  2.98   8  11
   4  13  2.25   9  12
   4  13  2.27  10  13
   4  13  2.12  11  14
   5  15  2.41   2   3
   5  15  2.50   4   5
   5  15  2.56   5   6
   6  15  1.83   2   2
   6  15  2.01   3   3
   6  15  1.91   4   4
   6  15  2.08   5   5
   6  15  2.22   6   6
   6  15  2.37   7   7
   6  15  2.32   9   9
   6  15  2.45  10  10
   6  15  2.69  11  11
   6  15  2.80  12  12
   6  15  2.59  13  13
   6  15  2.70  14  14
   7  15  1.78   3   8
   7  15  2.43   8  13
   7  15  2.35   9  14
   8  13  2.12   4   0
   8  13  2.33   5   1
   8  13  2.26   6   2
   8  13  2.09   7   3
   8  13  2.32   8   4
   8  13  2.37   9   5
   8  13  2.27  10   6
   8  13  2.28  11   7
   8  13  2.23  12   8
   8  13  2.47  13   9
   8  13  2.48  14  10
   8  13  2.46  16  12
   8  13  1.91  17  13
   8  13  2.01  18  14
   9  13  1.95   2   0
   9  18  2.92   9  12
   9  19  2.79   9  13
  10  11  2.19   5   3
  10  11  2.39  10   8
  10  11  2.56  11   9
  10  11  2.70  12  10
  10  11  2.65  13  11
  10  11  1.56  15  13
  10  11  2.60  16  14
  11  12  2.44   1   2
  11  13  1.61   1   3
  11  14  1.64   1   4
  12  13  2.41   4   2
  12  13  2.60   5   3
  12  13  2.16   6   4
  12  13  2.81   7   5
  12  13  2.61   8   6
  12  13  2.39   9   7
  12  13  2.91  10   8
  12  13  2.93  11   9
  12  13  2.79  12  10
  12  13  3.11  14  12
  12  13  2.90  15  13
  12  13  2.91  16  14
  13  12  2.07   3   0
